id;opis;energia_(kcal);woda_(g);masa_kałowa_(g);białko_(g);tłuszcze_(g);węglowodany_(g);cukry_proste_(g);tłuszcze_nasycone_(g);witamina_d_(µg);----;----;----
----;----;sytość;wodnistość;przyswajalność;wysokobiałkowość;tłustość;----;słodkość;----;antydepresyjność;wpływ na zdrowie;szybkość trawienia;przystosowanie dla cukrzyków
1001;BUTTER,WITH SALT;717;15,87;2,11;0,85;81,11;0,06;0,06;51,368;0;0,627017800536455;0,8166375;1
1002;BUTTER,WHIPPED,W/ SALT;718;16,72;1,62;0,49;78,3;2,87;0,06;45,39;0;0,556576047024247;0,796825;47,8333333333333
1003;BUTTER OIL,ANHYDROUS;876;0,24;0;0,28;99,48;0;0;61,924;0;0,620729751403368;0,99655;0
1004;CHEESE,BLUE;353;42,41;5,11;21,4;28,74;2,34;0,5;18,669;0,5;0,365262957317073;0,429925;4,68
1005;CHEESE,BRICK;371;41,11;3,18;23,24;29,68;2,79;0,51;18,764;0,5;0,345970202836116;0,4525125;5,47058823529412
1006;CHEESE,BRIE;334;48,42;2,7;20,75;27,68;0,45;0,45;17,41;0,5;0,365384615384615;0,408175;1
1007;CHEESE,CAMEMBERT;300;51,8;3,68;19,8;24,26;0,46;0,46;15,259;0,4;0,353077268643306;0,368075;1
1008;CHEESE,CARAWAY;376;39,28;3,28;25,18;29,2;3,06;;18,584;1,4;0,323537604456824;0,46085;0
1009;CHEESE,CHEDDAR;404;37,02;3,71;22,87;33,31;3,09;0,48;18,867;0,6;0,326421461110174;0,487625;6,4375
1010;CHEESE,CHESHIRE;387;37,65;3,6;23,37;30,6;4,78;;19,475;1,6;0,331489361702128;0,4699875;0
1011;CHEESE,COLBY;394;38,2;3,36;23,76;32,11;2,57;0,52;20,218;0,6;0,354859685147159;0,4792375;4,94230769230769
1012;CHEESE,COTTAGE,CRMD,LRG OR SML CURD;98;79,79;1,41;11,12;4,3;3,38;2,67;1,718;0,1;0,233404255319149;0,125175;1,26591760299625
1013;CHEESE,COTTAGE,CRMD,W/FRUIT;97;79,64;1,2;10,69;3,85;4,61;2,38;2,311;0;0,244960835509138;0,1226;1,93697478991597
1014;CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD;72;81,01;1,71;10,34;0,29;6,66;1,85;0,169;0;0,116772700983227;0,0925;3,6
1015;CHEESE,COTTAGE,LOWFAT,2% MILKFAT;81;81,24;1,27;10,45;2,27;4,76;4;1,235;0;0,299485125858124;0,1058625;1,19
1016;CHEESE,COTTAGE,LOWFAT,1% MILKFAT;72;82,48;1,39;12,39;1,02;2,72;2,72;0,645;0;0,208617482951023;0,0978375;1
1017;CHEESE,CREAM;350;52,62;1,27;6,15;34,44;5,52;3,76;20,213;0;0,519908913467794;0,4035375;1,46808510638298
1018;CHEESE,EDAM;357;41,56;4,22;24,99;27,8;1,43;1,43;17,572;0,5;0,350461084470675;0,43955;1
1019;CHEESE,FETA;264;55,22;5,2;14,21;21,28;4,09;4,09;14,946;0,4;0,480949974734715;0,31695;1
1020;CHEESE,FONTINA;389;37,92;3,79;25,6;31,14;1,55;1,55;19,196;0,6;0,355910104649168;0,4772125;1
1021;CHEESE,GJETOST;466;13,44;4,75;9,65;29,51;42,65;;19,16;1,6;0,234201197897567;0,51535;0
1022;CHEESE,GOUDA;356;41,46;3,94;24,94;27,44;2,22;2,22;17,614;0,5;0,363260073260073;0,4386;1
1023;CHEESE,GRUYERE;413;33,19;4,3;29,81;32,34;0,36;0,36;18,913;0,6;0,308318669012958;0,5110625;1
1024;CHEESE,LIMBURGER;327;48,42;3,79;20,05;27,25;0,49;0,49;16,746;0,5;0,360661226197949;0,39965;1
1025;CHEESE,MONTEREY;373;41,01;3,55;24,48;30,28;0,68;0,5;19,066;0,6;0,352922077922078;0,45835;1,36
1026;CHEESE,MOZZARELLA,WHL MILK;300;50,01;3,28;22,17;22,35;2,19;1,03;13,152;0,4;0,303618068935988;0,370275;2,12621359223301
1027;CHEESE,MOZZARELLA,WHL MILK,LO MOIST;318;48,38;2,91;21,6;24,64;2,47;1,01;15,561;0,5;0,340197084787518;0,3906625;2,44554455445545
1028;CHEESE,MOZZARELLA,PART SKIM MILK;254;53,78;3,27;24,26;15,92;2,77;1,13;10,114;0,3;0,261792782305006;0,3212125;2,45132743362832
1029;CHEESE,MOZZARELLA,LO MOIST,PART-SKIM;295;47,07;3,83;23,75;19,78;5,58;1,9;11,295;0,4;0,268682549378945;0,3671625;2,93684210526316
1030;CHEESE,MUENSTER;368;41,77;3,66;23,41;30,04;1,12;1,12;19,113;0,6;0,370771486164559;0,4509125;1
1031;CHEESE,NEUFCHATEL;253;63,11;1,37;9,15;22,78;3,59;3,19;12,79;1,6;0,449887387387387;0,29845;1,12539184952978
1032;CHEESE,PARMESAN,GRATED;420;22,65;7,18;28,42;27,84;13,91;0,07;15,371;0,5;0,220051303976058;0,5081875;198,714285714286
1033;CHEESE,PARMESAN,HARD;392;29,16;6,04;35,75;25,83;3,22;0,8;16,41;0,5;0,265586419753086;0,4938125;4,025
1034;CHEESE,PORT DE SALUT;352;45,45;2;23,78;28,2;0,57;0,57;16,691;0,5;0,328468125594672;0,4327625;1
1035;CHEESE,PROVOLONE;351;40,95;4,71;25,58;26,62;2,14;0,56;17,078;0,5;0,324585940375414;0,4341;3,82142857142857
1036;CHEESE,RICOTTA,WHOLE MILK;174;71,7;1,02;11,26;12,98;3,04;0,27;8,295;0,2;0,313966275659824;0,211575;11,2592592592593
1037;CHEESE,RICOTTA,PART SKIM MILK;138;74,41;1,15;11,39;7,91;5,14;0,31;4,927;0,1;0,214279869067103;0,1695625;16,5806451612903
1038;CHEESE,ROMANO;387;30,91;6,72;31,8;26,94;3,63;0,73;17,115;0,5;0,286115119448453;0,4817625;4,97260273972603
1039;CHEESE,ROQUEFORT;369;39,38;6,44;21,54;30,64;2;;19,263;;0,355537098560354;0,448525;0
1040;CHEESE,SWISS;393;37,63;2,97;26,96;30,99;1,44;0;18,227;0;0,306903519110961;0,4838;0
1041;CHEESE,TILSIT;340;42,86;4,87;24,41;25,98;1,88;;16,775;;0,320929787641094;0,4194125;0
1042;CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D;366;39,61;6,78;18,13;30,71;4,78;2,26;18,057;7,5;0,378907124207385;0,4383375;2,11504424778761
1043;CHEESE,PAST PROCESS,PIMENTO;375;39,08;5,84;22,13;31,2;1,73;0,62;19,663;0,5;0,368379949146386;0,4568;2,79032258064516
1044;CHEESE,PAST PROCESS,SWISS;334;42,31;5,85;24,73;25,01;2,1;1,23;16,045;0,5;0,333236882716049;0,4125375;1,70731707317073
1045;CHEESE FD,COLD PK,AMERICAN;331;43,12;4,44;19,66;24,46;8,32;;15,355;;0,292810831426392;0,398675;0
1046;CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT;330;44;4,96;16,86;25,63;8,56;5,59;15,057;2,5;0,404446620959843;0,393775;1,53130590339893
1047;CHEESE FD,PAST PROCESS,SWISS;323;43,67;5,77;21,92;24,14;4,5;;15,487;;0,306309335443038;0,395275;0
1048;CHEESE SPRD,PAST PROCESS,AMERICAN;290;47,65;5,98;16,41;21,23;8,73;7,32;13,327;0,4;0,445266335993099;0,3476;1,19262295081967
1049;CREAM,FLUID,HALF AND HALF;123;81,24;0,51;3,13;10,39;4,73;4,13;7,032;0;0,611616438356164;0,1412;1,1452784503632
1050;CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM);191;74,51;0,61;2,96;19,1;2,82;3,67;10,176;1,1;0,556511254019293;0,220075;0,768392370572207
1052;CREAM,FLUID,LT WHIPPING;292;63,5;0,46;2,17;30,91;2,96;2,96;19,337;0,6;0,618673695893452;0,3337625;1
1053;CREAM,FLUID,HVY WHIPPING;340;57,81;0,53;2,84;36,08;2,74;2,92;23,032;1,6;0,62294767162746;0,388825;0,938356164383562
1054;CREAM,WHIPPED,CRM TOPPING,PRESSURIZED;257;61,33;0,76;3,2;22,22;12,49;8;13,831;0,4;0,575863888156159;0,2890375;1,56125
1055;CREAM,SOUR,RED FAT,CULTURED;135;80,14;0,66;2,94;12;4,26;0,16;7,47;0,2;0,397395833333333;0,15435;26,625
1056;CREAM,SOUR,CULTURED;198;73,07;0,51;2,44;19,35;4,63;3,41;10,14;0;0,512869038607116;0,2261125;1,35777126099707
1057;EGGNOG;88;82,54;0,67;4,55;4,19;8,05;8,05;2,591;1,2;0,633770101250745;0,100525;1
1058;SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE;178;74,79;0,71;3,25;16,57;4,68;4,68;13,272;0;0,732734693877551;0,2035625;1
1059;MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS;63;87,67;0,8;3,33;3,46;4,74;;0,768;;0,066608846487424;0,0731875;0
1060;MILK,FILLED,FLUID,W/LAURIC ACID OIL;63;87,73;0,8;3,33;3,4;4,74;4,74;3,101;0;0,68360941586748;0,0725875;1
1061;CHEESE,AMERICAN,NONFAT OR FAT FREE;126;65,47;2,95;21,05;0;10,53;5,26;0;0,1;0,166561114629512;0,17105;2,00190114068441
1067;CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT;136;77,27;0,38;1;9,97;11,38;11,38;1,937;0;0,595838926174497;0,148625;1
1068;CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE;136;77,27;0,38;1;9,97;11,38;;9,304;;0,416286353467561;0,148625;0
1069;CREAM SUBSTITUTE,POWDERED;529;2,98;2,34;2,48;32,92;59,29;7,77;19,146;0;0,284253881085648;0,5670375;7,63063063063063
1070;DESSERT TOPPING,POWDERED;577;1,47;1,17;4,9;39,92;52,54;52,54;36,723;0;0,916834428923582;0,62685;1
1071;DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK;194;65,74;0,8;3,61;12,72;17,13;17,13;10,684;0,9;0,831261207411835;0,214;1
1072;DESSERT TOPPING,PRESSURIZED;264;60,37;0,28;0,98;22,3;16,07;16,07;18,912;0;0,888996188055908;0,2893875;1
1073;DESSERT TOPPING,SEMI SOLID,FRZ;318;50,21;0,18;1,25;25,31;23,05;23,05;21,783;0;0,90370892965128;0,34735;1
1074;SOUR CRM,IMITN,CULTURED;208;71,15;0,3;2,4;19,52;6,63;6,63;17,791;0;0,855376532399299;0,2350625;1
1076;MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL;61;88,18;0,5;1,75;3,41;6,16;;3,037;;0,268286219081272;0,0681375;0
1077;MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D;61;88,13;0,67;3,15;3,25;4,8;5,05;1,865;1,3;0,617410714285714;0,0701875;0,95049504950495
1078;MILK,PRODUCER,FLUID,3.7% MILKFAT;64;87,69;0,72;3,28;3,66;4,65;;2,278;;0,196548748921484;0,0745375;0
1079;MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D;50;89,21;0,71;3,3;1,98;4,8;5,06;1,257;1,2;0,626686507936508;0,058425;0,948616600790514
1080;MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D;51;88,86;0,77;3,48;1,92;4,97;;1,195;1;0,115236258437801;0,0595875;0
1081;MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D;56;87,71;0,87;3,95;1,98;5,49;5,26;1,232;1;0,568476357267951;0,065075;1,04372623574145
1082;MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D;42;89,92;0,75;3,37;0,97;4,99;5,2;0,633;1,2;0,62518756698821;0,049475;0,959615384615385
1083;MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D;43;89,81;0,77;3,48;0,97;4,97;;0,604;1;0,06411889596603;0,0500875;0
1084;MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D;48;88,74;0,86;3,93;1,17;5,52;;0,728;1;0,068549905838042;0,0569625;0
1085;MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM);34;90,84;0,75;3,37;0,08;4,96;5,09;0,056;1,2;0,611890606420927;0,0404625;0,974459724950884
1086;MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D;37;90,38;0,78;3,57;0,25;5,02;5,02;0,162;1,2;0,586199095022624;0,0436375;1
1087;MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM);41;89,36;0,87;3,96;0,25;5,56;;0,162;1;0,016581371545548;0,0481;0
1088;MILK,BTTRMLK,FLUID,CULTURED,LOWFAT;40;90,13;0,89;3,31;0,88;4,79;4,79;0,548;0;0,594432071269488;0,04745;1
1089;MILK,LO NA,FLUID;61;88,2;0,78;3,1;3,46;4,46;4,46;2,154;1,3;0,600181488203267;0,0707;1
